Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2013-01-01,Engineering,Private,All,3145.0,112.0,9.0,984828.5,216158.0,347735.5,121497.0,419772.0,249544.0,535279.0,46.61942650468261,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2014-01-01,Engineering,Private,All,3148.0,45.0,16.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2015-01-01,Engineering,Private,All,3161.0,41.0,15.0,984828.5,216158.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,40.38230530246843,64.96341160404201
2016-01-01,Engineering,Private,All,3061.0,22.0,40.0,984828.5,212248.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,39.651845112548784,64.96341160404201
2017-01-01,Engineering,Private,All,2972.0,10.0,55.0,984828.5,201961.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,37.73004358474739,64.96341160404201
2018-01-01,Engineering,Private,All,2889.0,20.0,45.0,984828.5,194000.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,36.24278180163989,64.96341160404201
2019-01-01,Engineering,Private,All,2768.0,65.0,26.0,984828.5,186621.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,34.864248363937314,64.96341160404201
2020-01-01,Engineering,Private,All,2653.0,27.0,33.0,984828.5,189070.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,35.32176677956729,64.96341160404201
2021-01-01,Engineering,Private,All,2565.0,10.0,14.0,984828.5,184027.0,347735.5,121497.0,419772.0,264793.5,535279.0,49.46831465460069,78.42115980638134,4.405697260014651,34.37964127118755,64.96341160404201
2013-01-01,Engineering,Government,All,218.0,2.0,0.0,83109.0,25093.0,51417.0,13517.0,61022.0,23299.0,76510.0,30.452228466867076,79.7568945235917,5.660279647850855,32.79701999738596,67.20298000261403
2014-01-01,Engineering,Government,All,235.0,6.0,0.0,91434.0,23209.0,56319.0,17055.0,67855.0,25217.0,79528.0,31.70832914193743,85.3221506890655,4.66303136909997,29.18343225027663,70.81656774972338
2015-01-01,Engineering,Government,All,239.0,5.0,0.0,94090.0,23065.0,58629.0,19678.0,70832.0,29221.0,81694.0,35.768844713198035,86.70404191250275,4.151539790629129,28.233407594192965,71.76659240580705
2016-01-01,Engineering,Government,All,302.0,13.0,0.0,111099.0,26099.0,66496.0,18960.0,82738.0,35221.0,92595.0,38.037691020033485,89.35471677736379,4.88370253164557,28.186187159133862,71.81381284086615
